doc_id,item,category,amount,price,discount
DOC-20250906-2-1-IV7ZZJ,Скатерть,Текстиль,2,12.43,0.0
DOC-20250906-2-1-IV7ZZJ,Перчатки резиновые,Хозтовары,5,2.56,0.0
DOC-20250906-2-1-IV7ZZJ,Гель для стирки,Бытовая химия,3,4.06,0.0
DOC-20250906-2-1-IV7ZZJ,Губки для посуды,Хозтовары,3,2.14,0.0
DOC-20250906-2-1-RMJLJX,Салфетки,Текстиль,2,1.6,0.55
DOC-20250906-2-1-RMJLJX,Губки для посуды,Хозтовары,3,1.69,0.0
DOC-20250906-2-1-RMJLJX,Пакеты для мусора,Хозтовары,4,1.08,0.38
DOC-20250906-2-1-PNBZUG,Перчатки резиновые,Хозтовары,4,2.6,1.57
DOC-20250906-2-1-PNBZUG,Набор ножей,Посуда,2,25.51,9.26
DOC-20250906-2-1-GDEJ31,Перчатки резиновые,Хозтовары,1,3.7,0.0
DOC-20250906-2-1-GDEJ31,Салфетки,Текстиль,3,3.98,0.0
DOC-20250906-2-1-5NVQEB,Губки для посуды,Хозтовары,1,2.88,0.0
DOC-20250906-2-1-5NVQEB,Салфетки,Текстиль,4,3.0,0.0
DOC-20250906-2-1-5NVQEB,Сковорода 24см,Посуда,2,13.24,0.0
DOC-20250906-2-1-5NVQEB,Салфетки,Текстиль,5,2.37,2.35
DOC-20250906-2-1-5NVQEB,Кондиционер для белья,Бытовая химия,2,4.24,1.04
DOC-20250906-2-1-WGWAJ1,Губки для посуды,Хозтовары,4,2.48,1.66
DOC-20250906-2-1-WGWAJ1,Кондиционер для белья,Бытовая химия,4,5.88,0.0
DOC-20250906-2-1-8NBHNA,Набор ножей,Посуда,1,21.67,0.0
DOC-20250906-2-1-8NBHNA,Салфетки,Текстиль,3,1.91,0.0
DOC-20250906-2-1-8NBHNA,Гель для стирки,Бытовая химия,5,7.07,0.0
DOC-20250906-2-1-CB8QSS,Перчатки резиновые,Хозтовары,3,3.99,1.48
DOC-20250906-2-1-CB8QSS,Салфетки,Текстиль,4,1.66,0.0
DOC-20250906-2-1-CB8QSS,Салфетки,Текстиль,2,3.91,0.0
DOC-20250906-2-1-CB8QSS,Стиральный порошок,Бытовая химия,2,7.13,0.0
DOC-20250906-2-1-Z2NX1W,Стиральный порошок,Бытовая химия,1,7.63,0.0
DOC-20250906-2-1-Z2NX1W,Гель для стирки,Бытовая химия,4,7.33,0.0
DOC-20250906-2-1-Z2NX1W,Полотенце кухонное,Текстиль,2,5.32,0.0
DOC-20250906-2-1-Z2NX1W,Перчатки резиновые,Хозтовары,3,2.89,0.0
DOC-20250906-2-1-Z2NX1W,Гель для стирки,Бытовая химия,3,9.3,0.0
DOC-20250906-2-1-ZP6SWK,Кастрюля 3л,Посуда,2,13.97,4.88
DOC-20250906-2-1-9MOFT6,Скатерть,Текстиль,1,9.28,0.0
DOC-20250906-2-1-9MOFT6,Гель для стирки,Бытовая химия,4,10.68,0.0
DOC-20250906-2-1-9MOFT6,Гель для стирки,Бытовая химия,1,10.24,0.0
DOC-20250906-2-1-9MOFT6,Гель для стирки,Бытовая химия,2,11.24,0.0
DOC-20250906-2-1-9JB354,Перчатки резиновые,Хозтовары,1,1.94,0.0
DOC-20250906-2-1-9JB354,Стиральный порошок,Бытовая химия,2,3.07,0.0
DOC-20250906-2-1-9JB354,Кондиционер для белья,Бытовая химия,4,4.31,1.56
DOC-20250906-2-1-0NMEOQ,Пакеты для мусора,Хозтовары,4,3.55,0.0
DOC-20250906-2-1-0NMEOQ,Кондиционер для белья,Бытовая химия,1,3.12,0.55
DOC-20250906-2-1-0NMEOQ,Гель для стирки,Бытовая химия,5,7.33,0.0
DOC-20250906-2-1-0NMEOQ,Губки для посуды,Хозтовары,2,2.29,0.0
DOC-20250906-2-1-2W5506,Кастрюля 3л,Посуда,4,12.26,0.0
DOC-20250906-2-1-2W5506,Гель для стирки,Бытовая химия,3,6.09,0.0
DOC-20250906-2-1-2W5506,Перчатки резиновые,Хозтовары,5,2.57,0.0
DOC-20250906-2-1-2W5506,Салфетки,Текстиль,3,4.91,0.0
DOC-20250906-2-1-YWP0RX,Кондиционер для белья,Бытовая химия,5,7.11,5.05
DOC-20250906-2-1-YWP0RX,Стиральный порошок,Бытовая химия,2,7.5,0.0
DOC-20250906-2-1-YWP0RX,Кастрюля 3л,Посуда,2,27.04,0.0
DOC-20250906-2-1-YWP0RX,Кастрюля 3л,Посуда,3,16.41,2.83
DOC-20250906-2-1-IXOIQ2,Гель для стирки,Бытовая химия,4,10.85,0.0
DOC-20250906-2-1-IXOIQ2,Кастрюля 3л,Посуда,1,24.9,0.0
DOC-20250906-2-1-IXOIQ2,Сковорода 24см,Посуда,5,12.82,0.0
DOC-20250906-2-1-IXOIQ2,Гель для стирки,Бытовая химия,5,10.33,0.0
DOC-20250906-2-1-6UXQM3,Кастрюля 3л,Посуда,5,16.64,0.0
DOC-20250906-2-1-6UXQM3,Пакеты для мусора,Хозтовары,4,2.97,0.0
DOC-20250906-2-1-1HM38K,Скатерть,Текстиль,1,15.83,1.96
DOC-20250906-2-1-1HM38K,Пакеты для мусора,Хозтовары,4,3.23,0.0
DOC-20250906-2-1-1HM38K,Губки для посуды,Хозтовары,1,1.23,0.13
DOC-20250906-2-1-1HM38K,Кастрюля 3л,Посуда,2,26.49,0.0
DOC-20250906-2-1-1HM38K,Гель для стирки,Бытовая химия,1,10.06,1.77
DOC-20250906-2-1-V1QX8E,Стиральный порошок,Бытовая химия,1,6.71,0.0
DOC-20250906-2-1-V1QX8E,Сковорода 24см,Посуда,4,31.29,20.92
DOC-20250906-2-1-V1QX8E,Кондиционер для белья,Бытовая химия,2,6.3,0.0
DOC-20250906-2-1-V1QX8E,Кондиционер для белья,Бытовая химия,5,3.07,0.0
DOC-20250906-2-1-L5PVYI,Скатерть,Текстиль,4,19.59,5.54
DOC-20250906-2-1-L5PVYI,Губки для посуды,Хозтовары,5,2.34,0.0
DOC-20250906-2-1-L5PVYI,Пакеты для мусора,Хозтовары,3,2.64,0.0
DOC-20250906-2-1-L5PVYI,Набор ножей,Посуда,2,37.14,0.0
DOC-20250906-2-1-ZY7EZ9,Набор ножей,Посуда,3,33.99,0.0
DOC-20250906-2-1-ZY7EZ9,Скатерть,Текстиль,5,13.87,0.0
DOC-20250906-2-1-YP04K4,Набор ножей,Посуда,4,18.73,0.0
DOC-20250906-2-1-YH1FKJ,Пакеты для мусора,Хозтовары,2,3.35,0.37
DOC-20250906-2-1-3D5050,Сковорода 24см,Посуда,3,17.46,0.0
DOC-20250906-2-1-3D5050,Стиральный порошок,Бытовая химия,4,9.49,0.0
DOC-20250906-2-1-3D5050,Перчатки резиновые,Хозтовары,5,1.94,0.0
DOC-20250906-2-1-3D5050,Пакеты для мусора,Хозтовары,5,1.75,1.57
DOC-20250906-2-1-3D5050,Кастрюля 3л,Посуда,3,26.6,10.53
DOC-20250906-2-1-V18KGY,Кондиционер для белья,Бытовая химия,1,6.54,0.0
DOC-20250906-2-1-V18KGY,Сковорода 24см,Посуда,3,18.42,0.0
DOC-20250906-2-1-VJLZFF,Губки для посуды,Хозтовары,5,0.91,0.43
DOC-20250906-2-1-VJLZFF,Губки для посуды,Хозтовары,1,2.01,0.2
DOC-20250906-2-1-VJLZFF,Салфетки,Текстиль,5,4.83,0.0
DOC-20250906-2-1-SOTDHH,Скатерть,Текстиль,2,11.05,3.15
DOC-20250906-2-1-SOTDHH,Кастрюля 3л,Посуда,1,29.93,0.0
DOC-20250906-2-1-SOTDHH,Скатерть,Текстиль,5,12.24,5.3
DOC-20250906-2-1-B5N2EJ,Стиральный порошок,Бытовая химия,3,9.38,0.0
DOC-20250906-2-1-B5N2EJ,Набор ножей,Посуда,1,30.59,0.0
DOC-20250906-2-1-B5N2EJ,Перчатки резиновые,Хозтовары,5,1.58,0.0
DOC-20250906-2-1-D81TWH,Перчатки резиновые,Хозтовары,1,2.27,0.0
DOC-20250906-2-1-D81TWH,Пакеты для мусора,Хозтовары,4,3.64,0.0
DOC-20250906-2-1-70FQLD,Кондиционер для белья,Бытовая химия,5,6.87,0.0
DOC-20250906-2-1-36OQOL,Перчатки резиновые,Хозтовары,1,1.35,0.0
DOC-20250906-2-1-36OQOL,Губки для посуды,Хозтовары,5,0.94,0.0
DOC-20250906-2-1-36OQOL,Гель для стирки,Бытовая химия,5,6.86,0.0
DOC-20250906-2-1-36OQOL,Перчатки резиновые,Хозтовары,1,1.9,0.0
DOC-20250906-2-1-7N3BFH,Набор ножей,Посуда,2,25.32,0.0
DOC-20250906-2-1-7N3BFH,Пакеты для мусора,Хозтовары,1,2.94,0.0
DOC-20250906-2-1-7N3BFH,Набор ножей,Посуда,1,19.95,0.0
DOC-20250906-2-1-7N3BFH,Губки для посуды,Хозтовары,5,1.67,0.8
DOC-20250906-2-1-06MOXS,Кондиционер для белья,Бытовая химия,3,3.71,0.0
DOC-20250906-2-1-06MOXS,Кондиционер для белья,Бытовая химия,5,6.19,5.5
DOC-20250906-2-1-79QTKC,Салфетки,Текстиль,4,3.9,1.62
DOC-20250906-2-1-YIKCGR,Губки для посуды,Хозтовары,5,2.25,0.0
DOC-20250906-2-1-YIKCGR,Губки для посуды,Хозтовары,3,1.6,0.36
DOC-20250906-2-1-YIKCGR,Скатерть,Текстиль,2,9.45,0.0
DOC-20250906-2-1-XJMYLR,Скатерть,Текстиль,4,16.85,0.0
DOC-20250906-2-1-XJMYLR,Кондиционер для белья,Бытовая химия,1,6.05,1.08
DOC-20250906-2-1-XJMYLR,Кондиционер для белья,Бытовая химия,2,7.4,0.0
DOC-20250906-2-1-XJMYLR,Перчатки резиновые,Хозтовары,1,1.23,0.22
DOC-20250906-2-1-W3U1HB,Набор ножей,Посуда,5,46.29,0.0
DOC-20250906-2-1-W3U1HB,Кондиционер для белья,Бытовая химия,2,4.51,1.25
DOC-20250906-2-1-W3U1HB,Полотенце кухонное,Текстиль,5,2.94,0.0
DOC-20250906-2-1-OSX43W,Набор ножей,Посуда,2,19.91,0.0
DOC-20250906-2-1-OSX43W,Губки для посуды,Хозтовары,2,2.25,0.0
DOC-20250906-2-1-RMHRCN,Перчатки резиновые,Хозтовары,3,1.62,0.0
DOC-20250906-2-1-75BXD8,Пакеты для мусора,Хозтовары,5,1.79,0.0
DOC-20250906-2-1-75BXD8,Сковорода 24см,Посуда,3,27.03,0.0
DOC-20250906-2-1-75BXD8,Гель для стирки,Бытовая химия,4,8.13,2.71
DOC-20250906-2-1-O3M25A,Кастрюля 3л,Посуда,1,13.31,0.0
DOC-20250906-2-1-O3M25A,Полотенце кухонное,Текстиль,2,3.48,0.0
DOC-20250906-2-1-V3XOLE,Кастрюля 3л,Посуда,2,14.21,0.0
DOC-20250906-2-1-V3XOLE,Сковорода 24см,Посуда,1,12.52,0.0
DOC-20250906-2-1-V3XOLE,Губки для посуды,Хозтовары,5,1.15,0.0
DOC-20250906-2-1-V3XOLE,Губки для посуды,Хозтовары,2,1.12,0.0
DOC-20250906-2-1-G8VUAZ,Гель для стирки,Бытовая химия,5,5.73,5.16
DOC-20250906-2-1-G8VUAZ,Кондиционер для белья,Бытовая химия,4,3.71,0.0
DOC-20250906-2-1-G8VUAZ,Губки для посуды,Хозтовары,2,2.6,0.0
DOC-20250906-2-1-SGY7VC,Сковорода 24см,Посуда,1,15.04,0.0
DOC-20250906-2-1-SGY7VC,Набор ножей,Посуда,2,38.95,0.0
DOC-20250906-2-1-SGY7VC,Кондиционер для белья,Бытовая химия,5,5.12,0.0
DOC-20250906-2-1-SGY7VC,Набор ножей,Посуда,1,32.62,0.0
DOC-20250906-2-1-X6TA7Y,Набор ножей,Посуда,1,29.72,0.0
DOC-20250906-2-1-X6TA7Y,Сковорода 24см,Посуда,4,17.28,7.41
DOC-20250906-2-1-X6TA7Y,Губки для посуды,Хозтовары,5,2.57,0.0
DOC-20250906-2-1-X6TA7Y,Кондиционер для белья,Бытовая химия,2,3.9,0.49
DOC-20250906-2-1-VTJA0A,Гель для стирки,Бытовая химия,4,8.16,0.0
DOC-20250906-2-1-VTJA0A,Пакеты для мусора,Хозтовары,4,3.41,0.0
DOC-20250906-2-1-VTJA0A,Кондиционер для белья,Бытовая химия,5,4.84,0.0
DOC-20250906-2-1-VTJA0A,Набор ножей,Посуда,3,29.82,0.0
DOC-20250906-2-1-VTJA0A,Перчатки резиновые,Хозтовары,2,2.19,0.0
DOC-20250906-2-1-2RNTJL,Пакеты для мусора,Хозтовары,2,2.19,0.65
DOC-20250906-2-1-2RNTJL,Пакеты для мусора,Хозтовары,2,1.69,0.0
DOC-20250906-2-1-2RNTJL,Набор ножей,Посуда,3,29.02,12.37
DOC-20250906-2-1-YBOW23,Губки для посуды,Хозтовары,1,1.76,0.0
DOC-20250906-2-1-YBOW23,Скатерть,Текстиль,1,7.12,0.0
DOC-20250906-2-1-YBOW23,Сковорода 24см,Посуда,5,26.12,0.0
DOC-20250906-2-1-YBOW23,Губки для посуды,Хозтовары,2,0.93,0.0
DOC-20250906-2-1-PHX2KB,Набор ножей,Посуда,2,33.05,0.0
DOC-20250906-2-1-PHX2KB,Перчатки резиновые,Хозтовары,2,1.11,0.0
DOC-20250906-2-1-PHX2KB,Кондиционер для белья,Бытовая химия,3,2.98,0.92
DOC-20250906-2-1-PHX2KB,Сковорода 24см,Посуда,2,21.33,0.0
DOC-20250906-2-1-PHX2KB,Пакеты для мусора,Хозтовары,1,3.11,0.0
DOC-20250906-2-1-0UUM3I,Кастрюля 3л,Посуда,5,28.59,0.0
DOC-20250906-2-1-0UUM3I,Кондиционер для белья,Бытовая химия,1,4.74,0.0
DOC-20250906-2-1-SMESJT,Полотенце кухонное,Текстиль,4,6.86,0.0
DOC-20250906-2-1-SMESJT,Салфетки,Текстиль,4,4.03,0.0
DOC-20250906-2-1-SMESJT,Губки для посуды,Хозтовары,4,2.7,0.0
DOC-20250906-2-1-SMESJT,Гель для стирки,Бытовая химия,2,7.06,0.0
DOC-20250906-2-1-SMESJT,Салфетки,Текстиль,4,4.2,2.14
DOC-20250906-2-1-A3IDY3,Набор ножей,Посуда,4,47.6,0.0
DOC-20250906-2-1-HUG07G,Салфетки,Текстиль,3,3.94,0.0
DOC-20250906-2-1-HUG07G,Салфетки,Текстиль,5,4.34,0.0
DOC-20250906-2-1-2EC8RA,Стиральный порошок,Бытовая химия,3,8.94,0.0
DOC-20250906-2-1-2EC8RA,Кастрюля 3л,Посуда,5,27.96,17.28
DOC-20250906-2-1-2EC8RA,Набор ножей,Посуда,2,24.81,3.44
DOC-20250906-2-1-2EC8RA,Набор ножей,Посуда,4,42.97,9.43
DOC-20250906-2-1-2EC8RA,Скатерть,Текстиль,2,11.51,0.0
DOC-20250906-2-1-ESLAYN,Скатерть,Текстиль,3,11.06,0.0
DOC-20250906-2-1-JJ8MGP,Пакеты для мусора,Хозтовары,3,3.26,0.9
DOC-20250906-2-1-JJ8MGP,Кондиционер для белья,Бытовая химия,5,5.64,0.0
DOC-20250906-2-1-JJ8MGP,Гель для стирки,Бытовая химия,2,9.77,0.0
DOC-20250906-2-1-JJ8MGP,Сковорода 24см,Посуда,2,16.51,0.0
